TaskID|ProbeFileID|ProbeFileName|ProbeMaskFileName|DonorFileID|DonorFileName|DonorMaskFileName|IsTarget|ProbePostProcessed|DonorPostProcessed|ManipulationQuality|IsManipulationTypeRemoval|IsManipulationTypeSplice|IsManipulationTypeCopyClone|Collection|BaseFileName|Lighting|IsControl|CorrespondingControlFileName|SemanticConsistency
Splice|NC2016_0128|probe/NC2016_0128.jpg|reference/splice/mask/NC2016_3942.png|NC2016_9281|world/NC2016_9281.jpg|reference/splice/mask/NC2016_3942.png|Y|none|none|simple|N|Y|N|Nimble-SCI|world/NC2016_3272.jpg|same|N|probe/NC2016_7105.jpg|
Splice|NC2016_0128|probe/NC2016_0128.jpg|reference/splice/mask/NC2016_3942.png|NC2016_3836|world/NC2016_3836.jpg|reference/splice/mask/NC2016_3942.png|Y|none|rescale|simple|N|Y|N|Nimble-SCI|world/NC2016_3272.jpg|same|N|probe/NC2016_7105.jpg|
Splice|NC2016_0130|probe/NC2016_0130.jpg|reference/splice/mask/NC2016_6409.png|NC2016_4729|world/NC2016_4729.jpg|reference/splice/mask/NC2016_6409.png|Y|none|none|complex|N|Y|N|Nimble-SCI|world/NC2016_4264.jpg|different|N|probe/NC2016_7301.jpg|
Splice|NC2016_0130|probe/NC2016_0130.jpg|reference/splice/mask/NC2016_6409.png|NC2016_5112|world/NC2016_5112.jpg|reference/splice/mask/NC2016_6409.png|Y|none|rescale|complex|N|Y|N|Nimble-SCI|world/NC2016_4264.jpg|different|N|probe/NC2016_7301.jpg|
Splice|NC2016_0222|probe/NC2016_0222.jpg|reference/splice/mask/NC2016_5779.png|NC2016_8660|world/NC2016_8660.jpg|reference/splice/mask/NC2016_5779.png|Y|none|none|simple|N|Y|N|Nimble-SCI|world/NC2016_6721.jpg|same|N|probe/NC2016_9042.jpg|
Splice|NC2016_0222|probe/NC2016_0222.jpg|reference/splice/mask/NC2016_5779.png|NC2016_5360|world/NC2016_5360.jpg|reference/splice/mask/NC2016_5779.png|Y|none|rescale|simple|N|Y|N|Nimble-SCI|world/NC2016_6721.jpg|same|N|probe/NC2016_9042.jpg|
Splice|NC2016_0278|probe/NC2016_0278.jpg|reference/splice/mask/NC2016_0686.png|NC2016_7141|world/NC2016_7141.jpg|reference/splice/mask/NC2016_7562.png|Y|none|none|simple|N|Y|N|Nimble-SCI|world/NC2016_0662.jpg|different|N|probe/NC2016_2619.jpg|
Splice|NC2016_0278|probe/NC2016_0278.jpg|reference/splice/mask/NC2016_0686.png|NC2016_0006|world/NC2016_0006.jpg|reference/splice/mask/NC2016_7562.png|Y|none|rescale|simple|N|Y|N|Nimble-SCI|world/NC2016_0662.jpg|different|N|probe/NC2016_2619.jpg|
Splice|NC2016_0342|probe/NC2016_0342.jpg|reference/splice/mask/NC2016_3531.png|NC2016_2815|world/NC2016_2815.jpg|reference/splice/mask/NC2016_3531.png|Y|none|none|complex|N|Y|N|Nimble-SCI|world/NC2016_7734.jpg|different|N|probe/NC2016_6301.jpg|
Splice|NC2016_0342|probe/NC2016_0342.jpg|reference/splice/mask/NC2016_3531.png|NC2016_7659|world/NC2016_7659.jpg|reference/splice/mask/NC2016_3531.png|Y|none|rescale|complex|N|Y|N|Nimble-SCI|world/NC2016_7734.jpg|different|N|probe/NC2016_6301.jpg|
Splice|NC2016_0459|probe/NC2016_0459.jpg|reference/splice/mask/NC2016_8258.png|NC2016_6537|world/NC2016_6537.jpg|reference/splice/mask/NC2016_1423.png|Y|none|none|complex|N|Y|N|Nimble-SCI|world/NC2016_0159.jpg|different|N|probe/NC2016_0098.jpg|
Splice|NC2016_0459|probe/NC2016_0459.jpg|reference/splice/mask/NC2016_8258.png|NC2016_1947|world/NC2016_1947.jpg|reference/splice/mask/NC2016_1423.png|Y|none|rescale|complex|N|Y|N|Nimble-SCI|world/NC2016_0159.jpg|different|N|probe/NC2016_0098.jpg|
Splice|NC2016_0484|probe/NC2016_0484.jpg|reference/splice/mask/NC2016_3571.png|NC2016_9951|world/NC2016_9951.jpg|reference/splice/mask/NC2016_7166.png|Y|none|none|complex|N|Y|N|Nimble-SCI|world/NC2016_0662.jpg|same|N|probe/NC2016_2619.jpg|
Splice|NC2016_0484|probe/NC2016_0484.jpg|reference/splice/mask/NC2016_3571.png|NC2016_6355|world/NC2016_6355.jpg|reference/splice/mask/NC2016_7166.png|Y|none|rescale|complex|N|Y|N|Nimble-SCI|world/NC2016_0662.jpg|same|N|probe/NC2016_2619.jpg|
Splice|NC2016_0994|probe/NC2016_0994.jpg|reference/splice/mask/NC2016_5911.png|NC2016_3404|world/NC2016_3404.jpg|reference/splice/mask/NC2016_5911.png|Y|none|none|simple|N|Y|N|Nimble-SCI|world/NC2016_9067.jpg|same|N|probe/NC2016_2979.jpg|
Splice|NC2016_0994|probe/NC2016_0994.jpg|reference/splice/mask/NC2016_5911.png|NC2016_0045|world/NC2016_0045.jpg|reference/splice/mask/NC2016_5911.png|Y|none|rescale|simple|N|Y|N|Nimble-SCI|world/NC2016_9067.jpg|same|N|probe/NC2016_2979.jpg|
Splice|NC2016_1165|probe/NC2016_1165.jpg|reference/splice/mask/NC2016_9855.png|NC2016_3259|world/NC2016_3259.jpg|reference/splice/mask/NC2016_9855.png|Y|none|none|simple|N|Y|N|Nimble-SCI|world/NC2016_6611.jpg|same|N|probe/NC2016_1956.jpg|
Splice|NC2016_1165|probe/NC2016_1165.jpg|reference/splice/mask/NC2016_9855.png|NC2016_1104|world/NC2016_1104.jpg|reference/splice/mask/NC2016_9855.png|Y|none|rescale|simple|N|Y|N|Nimble-SCI|world/NC2016_6611.jpg|same|N|probe/NC2016_1956.jpg|
Splice|NC2016_1217|probe/NC2016_1217.jpg|reference/splice/mask/NC2016_1519.png|NC2016_2072|world/NC2016_2072.jpg|reference/splice/mask/NC2016_1519.png|Y|none|none|complex|N|Y|N|Nimble-SCI|world/NC2016_8410.jpg|different|N|probe/NC2016_6402.jpg|
Splice|NC2016_1217|probe/NC2016_1217.jpg|reference/splice/mask/NC2016_1519.png|NC2016_9518|world/NC2016_9518.jpg|reference/splice/mask/NC2016_1519.png|Y|none|rescale|complex|N|Y|N|Nimble-SCI|world/NC2016_8410.jpg|different|N|probe/NC2016_6402.jpg|
Splice|NC2016_1264|probe/NC2016_1264.jpg|reference/splice/mask/NC2016_2929.png|NC2016_7092|world/NC2016_7092.jpg|reference/splice/mask/NC2016_2929.png|Y|none|none|simple|N|Y|N|Nimble-SCI|world/NC2016_5008.jpg|different|N|probe/NC2016_6896.jpg|
